movie_id,title,tags
654754,Billie Eilish: The World's a Little Blurry,"This documentary offers a deeply intimate look at extraordinary teenager Billie Eilish. Award-winning filmmaker R.J. Cutler follows her journey on the road, onstage, and at home with her family as the writing and recording of her debut album changes her life. Documentary Music BillieEilish FinneasO'Connell MaggieBaird JustinBieber OrlandoBloom R.J.Cutler"
887485,The Vigils Of The Night,When the sun goes down DREAMS wake up. Three creatures dare to judge a mysterious DREAMER. They judge his existence and motivations as long as they question their own fears and cravings by playing to be creators. Animation EstanislaoCortada
583689,Moxie,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school. Comedy Drama Music HadleyRobinson LaurenTsai AlyciaPascual-Peña NicoHiraga SabrinaHaskett AmyPoehler"
484718,Coming 2 America,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again. Comedy EddieMurphy ArsenioHall JermaineFowler LeslieJones TracyMorgan CraigBrewer"
527774,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people. Animation Family Fantasy Action Adventure KellyMarieTran Awkwafina GemmaChan AlanTudyk IzaacWang DonHall"
412656,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone. Fantasy Science Fiction Adventure DaisyRidley TomHolland MadsMikkelsen DemiánBichir DavidOyelowo DougLiman"
631058,Boogie,"Alfred “Boogie” Chin is a basketball phenom living in Queens, New York, who dreams of one day playing in the NBA. While his parents pressure him to focus on earning a scholarship to an elite college, Boogie must find a way to navigate a new girlfriend, high school, on-court rivals and the burden of expectation. Drama TaylorTakahashi TaylourPaige PamelynChee MikeMoh JorgeLendeborgJr. EddieHuang"
638597,Yes Day,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure. Family Comedy JenniferGarner EdgarRamírez JennaOrtega JulianLerner EverlyCarganilla MiguelArteta
635012,Long Weekend,"Bart's chance encounter with the enigmatic Vienna leads to a whirlwind weekend together. The two fall fast and hard, but both carry secrets that could be their undoing or the chance for a fresh start. Romance Comedy FinnWittrock ZoeChao DamonWayansJr. CaseyWilson JimRash StephenBasilone"
681887,Cosmic Sin,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late. Action Adventure Science Fiction BruceWillis AdelaideKane FrankGrillo LochlynMunro CostasMandylor EdwardDrake"
795230,Trust,"Set in the glamour of the New York and Paris art scenes, gallery owner Brooke Gatwick and her newscaster husband Owen Shore, face temptation, jealousy, twists and mystery when two seductive newcomers enter their lives. Thriller Romance Drama VictoriaJustice MatthewDaddario KatherineMcNamara LucienLaviscount RonnyChieng BrianDeCubellis"
791373,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions. Action Adventure Fantasy BenAffleck HenryCavill GalGadot JasonMomoa EzraMiller ZackSnyder"
1014245,The Night Courier,"A woman who feeds people to monsters chases a victim who manages to escape, which turns into a chase from hell. Horror EmilyTynanMcDaniel DrezRyan DarrenW.Conrad JenniferTrudrung NicholasByers MasonMcDonald"
673319,Happily,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all. Comedy Romance Science Fiction Thriller JoelMcHale KerryBishé NatalieZea PaulScheer NatalieMorales BenDavidGrabinski"
615457,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind. Action Thriller BobOdenkirk AlekseySerebryakov ConnieNielsen ChristopherLloyd MichaelIronside IlyaNaishuller"
578908,Bad Trip,Two pals embark on a road trip full of funny pranks that pull real people into mayhem. Comedy EricAndré LilRelHowery TiffanyHaddish MichaelaConlin GeraldEspinoza KitaoSakurai
645856,The Seventh Day,"A renowned exorcist teams up with a rookie priest for his first day of training. As they plunge deeper into hell on earth, the lines between good and evil blur, and their own demons emerge. Horror GuyPearce VadhirDerbez StephenLang BradyJenness RobinBartlett JustinP.Lange"
762888,Senior Moment,"After drag racing his vintage convertible around Palm Springs, a retired NASA test pilot loses his license. Forced to take public transportation, he meets Caroline and learns to navigate love and life again. Comedy Romance WilliamShatner JeanSmart DonMcManus KatrinaBowden ChristopherLloyd GiorgioSerafini"
399566,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages. Action Science Fiction Thriller AlexanderSkarsgård MillieBobbyBrown RebeccaHall BrianTyreeHenry ShunOguri AdamWingard"
632357,The Unholy,"Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister. Horror Mystery JeffreyDeanMorgan CricketBrown WilliamSadler KatieAselton CaryElwes EvanSpiliotopoulos"
803923,Every Breath You Take,"A psychiatrist, whose client commits suicide, finds his family life disrupted after introducing her surviving brother to his wife and daughter. Thriller CaseyAffleck MichelleMonaghan SamClaflin EmilyAlynLind IndiaEisley VaughnStein"
664300,Shiva Baby,"College student Danielle must cover her tracks when she unexpectedly runs into her sugar daddy at a shiva - with her parents, ex-girlfriend and family friends also in attendance. Comedy Drama RachelSennott MollyGordon PollyDraper DannyDeferrari FredMelamed EmmaSeligman"
805195,The Girl Who Believes in Miracles,"When Sara hears a preacher say faith can move mountains, she starts praying. Suddenly people in her town are mysteriously healed! But fame soon takes its toll – can Sara’s family save her before it’s too late? Family Drama MiraSorvino AustynJohnson KevinSorbo PeterCoyote BurgessJenkins RichCorrell"
808865,The Believer,"Lucas suspects his wife is losing her mind when she claims demons are waging a war in their urban home. Eerie evidence is mounting that she may not actually be crazy after all, but what she's about to tell him next is that he must do the unthinkable. Horror SophieKargman BillyZane AidanBristow SusanWilder LindseyGinter ShanSerafin"
786584,Dawn of the Beast,"Aiming to find the Bigfoot, a group of graduate students venture deep into an area of the Northeastern wilderness known for its strange creature sightings. Soon, they learn that there is a much more sinister evil lurking in the woods, the Wendigo, and once the spirit knows you’re there, they will come for you. Who will survive in a battle between the two most notorious monsters of the forest? Horror Thriller AnnaShields ChrisCimperman FrancescaAnderson GrantSchumacher LeJonWoods BruceWemple"
597890,Voyagers,"With the future of the human race at stake, a group of young men and women -- bred for intelligence and obedience -- embark on an expedition to colonize a distant planet. When they uncover disturbing secrets about the mission, they defy their training and begin to explore their most primitive natures. As life on the ship descends into chaos, they soon become consumed by fear, lust and an insatiable hunger for power. Science Fiction Thriller TyeSheridan Lily-RoseDepp FionnWhitehead ColinFarrell ChantéAdams NeilBurger"
615678,Thunder Force,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city. Action Adventure Comedy Science Fiction MelissaMcCarthy OctaviaSpencer JasonBateman BobbyCannavale PomKlementieff BenFalcone"
763568,Arlo the Alligator Boy,"Upon learning that he is from New York City, a wide-eyed boy, who is half human and half alligator, decides to leave his sheltered life in the swamp and search for his long lost father. A musical adventure. Animation Comedy Family MichaelJ.Woodard MaryLambert AnniePotts VincentRodriguezIII TonyHale RyanCrego"
894241,Monday,"Olympic gold Medalist, 3X Olympian, 3X All American. Kenny Monday is a legend in the sport of Wrestling. Though his legacy is forever cemented in history, Monday's Journey to greatness has a remained shrouded in mystery. From his start at a Youth Wrestling club at the YMCA 3 straight Olympic teams, this documentary dives deep into the life and legend that is Kenny Monday. Documentary KennyMonday NateCarr KendallCross BruceBurnett JimHumphrey MattDernlan"
748853,In the Earth,"As a deadly virus ravages the world, Dr. Martin Lowery embarks on a mission to reach test site ATU327A, a research hub deep in the Arboreal Forest. The arduous journey, guided by park scout Alma, is set back by a nighttime attack that leaves the two bruised and shoeless. When they run into Zach, a man living off the grid, they gratefully accept his help. Zach’s intentions aren’t exactly what they seem, however, and a path out of the forest and into safety quickly fades as the line between myth and science blurs. Horror Science Fiction Thriller JoelFry ElloraTorchia HayleySquires ReeceShearsmith JohnHollingworth BenWheatley"
559581,Stowaway,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board. Science Fiction Drama Thriller Adventure AnnaKendrick ToniCollette DanielDaeKim ShamierAnderson JoePenna
460465,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe. Action Fantasy Adventure LewisTan JessicaMcNamee JoshLawson MehcadBrooks LudiLin SimonMcQuoid"
804435,Vanquish,"Victoria is a young mother trying to put her dark past as a Russian drug courier behind her, but retired cop Damon forces Victoria to do his bidding by holding her daughter hostage. Now, Victoria must use guns, guts and a motorcycle to take out a series of violent gangsters—or she may never see her child again. Action Crime Thriller RubyRose MorganFreeman PatrickMuldoon JulieLott EkaterinaBaker GeorgeGallo"
776515,Together Together,"When young loner Anna is hired as the surrogate for Matt, a single man in his 40s, the two strangers come to realize this unexpected relationship will quickly challenge their perceptions of connection, boundaries and the particulars of love. Comedy EdHelms PattiHarrison RosalindChao AnnaKonkle EvanJonigkeit NikoleBeckwith"
680319,We Broke Up,Lori and Doug break up right before Lori's sister's wedding and decide to pretend they're still together for the weekend as to not disrupt the fun. Romance Comedy AyaCash WilliamJacksonHarper SarahBolger TonyCavalero PeriGilpin JeffRosenberg
674564,The Deep Ones,"A married couple rents a beachside Airbnb, only to be surrounded by peculiar neighbors and occurrences. They soon discover they are in the grip of a mysterious cult and their ancient sea god. Horror Science Fiction JohannUrb KelliMaroney RobertRhine JonMack NicolasCoster ChadFerrin"
631060,Things Heard & Seen,"Catherine Clare reluctantly trades life in 1980 Manhattan for a remote home in the tiny hamlet of Chosen, New York, after her husband George lands a job teaching art history at a small Hudson Valley college. Even as she does her best to transform the old dairy farm into a place where young daughter Franny will be happy, Catherine increasingly finds herself isolated and alone. She soon comes to sense a sinister darkness lurking both in the walls of the ramshackle property—and in her marriage to George. Horror AmandaSeyfried JamesNorton NataliaDyer AlexNeustaedter RheaSeehorn ShariSpringerBerman"
501929,The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope. Animation Adventure Comedy AbbiJacobson DannyMcBride MayaRudolph MikeRianda EricAndré JeffRowe"
567189,Tom Clancy's Without Remorse,An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife. Adventure Action Thriller War MichaelB.Jordan JamieBell GuyPearce JodieTurner-Smith LaurenLondon StefanoSollima
808023,The Virtuoso,A lonesome stranger with nerves of steel must track down and kill a rogue hitman to satisfy an outstanding debt. But the only information he's been given is a time and location where to find his quarry. No name. No description. Nothing. Thriller Crime AnthonyHopkins AnsonMount AbbieCornish DioraBaird EddieMarsan NickStagliano
641960,Four Good Days,A mother helps her daughter work through four crucial days of recovery from substance abuse. Drama GlennClose MilaKunis StephenRoot JoshuaLeonard RebeccaField RodrigoGarcía
760195,Separation,A young girl finds solace in her artist father and the ghost of her dead mother. Horror Drama BrianCox RupertFriend MadelineBrewer VioletMcGraw MamieGummer WilliamBrentBell
810271,The Resort,"Four friends head to Hawaii to investigate reports of a haunting at an abandoned resort in hopes of finding the infamous Half-Faced Girl. When they arrive, they soon learn you should be careful what you wish for. Horror BiancaHaase BrockO'Hurn MichaelVlamis MichelleRandolph DaveSheridan TaylorChien"
637649,Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score. Thriller Action Crime JasonStatham HoltMcCallany JoshHartnett ScottEastwood DarrellD'Silva GuyRitchie"
